AAPL, Apple
ARAMCO, Saudi-Aramco
AMZN, Amazon
GOOGL, Alphabet
TWTR, Twitter
T, AT&T
ADBE, Adobe
VZ, Verizon
TSLA, Tesla
MSFT, Microsoft
META, Meta
NVDA, Nvidia
AMD, AMD
KO, Coca-Cola
PEP, Pepsi
PFE, Pfizer
MRNA, Moderna
BABA, Alibaba
NFLX, Netflix
COST, Costco
SSNLF, Samsung
WMT, Walmart
HD, Home-Depot
MCD, McDonald
HYMTF, Hyundai
TM, Toyota
GM, General-Motors
NKE, Nike
ADDYY, Adidas
DIS, Disney
PYPL, PayPal
TCEHY, Tencent
TSM, TSMC
V, Visa
MA, Mastercard
NSRGY, Nestle
XOM, Exxon-Mobil
CVX, Chevron
VWAPY, Volkswagen
SONY, Sony
